Unnamed: 0,部分HS原关税,Unnamed: 2,Unnamed: 3
返回目录,海关编码,税率,仅供参考，实际以官网为准
,7318290000,0.028,
,8205594500,0.053,
,4911914040,Free,
,6304910140,0.058,
,4414000000,0.039,
,8537109170,0.027,
,7616109090,0.06,
,5401100000,0.114,
,8482101080,0.024,
,6913105000,Free,
,7117901000,Free,
,4419199000,0.032,
,6506106045,Free,
,9030333800,0.004,
,6404195760,0.125,
,9004900000,0.025,
,4202926091,0.063,
,8302416015,0.039,
,6307908995,0.07,
,8714100050,Free,
,7324900000,Free,
,8518302000,0.012,
,8301406030,0.057,
,7117905500,0.072,
,8301403000,0.031,
,8508190000,Free,
,4202923120,0.176,
,6302600020,0.091,
,6211431076,0.16,
,4205008000,Free,
,8421230000,0.025,
,9507902000,0.037,
,8511906040,0.025,
,4203293020,0.14,
,8467990199,Free,
,7324290000,Free,
,8714949000,0.1,
,6914108000,0.09,
,9606296000,0.029,
,8531801500,0.013,
,6404114160,0.075,
,9005100080,Free,
,8481905000,0.03,
,7326200071,0.039,
,9610000000,0.035,
,8529102120,Free,
,3926909905,0.053,
,7319402050,0.045,
,7116205000,Free,
,5806321070,0.06,
,8301700000,0.045,
,8511300080,0.025,
,8536410045,0.027,
,6302530020,0.113,
,8409915085,0.025,
,3925900000,0.053,
,4016935020,0.025,
,5607504000,0.036,
,8205600000,0.029,
,3926209050,0.05,
,8544429010,0.026,
,6911103510,0.26,
,8214203000,0.04,
,8424309000,Free,
,8212100000,Free,
,8708291500,0.025,
,5911400000,0.08,
,9032896040,0.017,
,9030320000,0.004,
,9017304000,0.058,
,9013802000,0.066,
,8421398015,Free,
,7013372000,0.225,
,6303922010,0.113,
,8532900000,Free,
,8538904000,0.035,
,8534000040,Free,
,4602121600,0.05,
,8414801690,Free,
,6201134015,0.277,
,7321190060,Free,
,6702903500,0.09,
,8471602000,Free,
,8421210000,Free,
,8516402000,Free,
,8424909080,Free,
,9105118010,30¢ each + 6.9% on the case + 5.3% on the battery,
,8527294000,0.011,
,4819200040,Free,
,3919101050,0.065,
,9614002830,0.3¢ each + 3.2%,
,7312900000,Free,
,8421290065,Free,
,8205511500,Free,
,8708210000,0.025,
,6601990000,0.082,
,5804109090,Free,
,8205100000,0.062,
,8466925010,0.047,
,4202929700,0.176,
,5204200000,0.044,
,8452902010,Free,
,6506910030,Free,
,4823909000,Free,
,3926301000,0.065,
,6109100060,0.165,
,7323915020,0.053,
,5406001040,0.075,
,4205004000,0.018,
,9405994090,0.06,
,5601210090,0.036,
,7018905000,0.066,
,7323999080,0.034,
,6117102030,0.113,
,8516320020,0.039,
,5806310000,0.088,
,6405209030,0.125,
,9209922000,0.039,
,8714996000,Free,
,8501106060,0.028,
,6404114130,0.075,
,8517690000,Free,
,8305903050,Free,
,6307904010,Free,
,8538901000,Free,
,7013370500,0.125,
,8527195010,Free,
,4823908600,Free,
,8509400030,0.042,
,8205306000,0.05,
,9701900000,Free,
,3918905000,0.042,
,3926907500,0.042,
,8536610000,0.027,
,8525190000,Free,
,6114909070,0.056,
,5604100000,0.063,
,8543709301, Free,
,8510300000,0.042,
,5602210000,49.5¢/KG + 7.5%/,
,7009921090,0.078,
,8541402000,0.02,
,8470100060,0.029,
,6110202041,0.165,
,8536200040,0.027,
,9506628060,0.048,
,6307905010,FREE,
,9102112510,"40¢ each + 8.5% on the case + 14% on the strap, band or bracelet + 5.3% on the battery",
,8302106060,0.035,
,8215992400,0.3¢ each + 4.5%,
,8544492000,0.035,
,8714919000,FREE,
,9015104000,FREE,
,6601910000,FREE,
,8516790000,0.027,
,8306100000,0.058,
,7323995060,FREE,
,8467195090,FREE,
,8422401190,FREE,
,8471900000,FREE,
,7013995000,0.3,
,6117809510,0.146,
,9615903000,0.051,
,6216004100,0.235,
,6110201033,0.05,
,3918102000,0.053,
,6911108090,0.053,
,8526921000,FREE,
,4202324000,0.063,
,9403608081,FREE,
,6114303070,0.149,
,9106905510,3.9% on the apparatus + 5.3% on the battery,
,9505904000,FREE,
,8708925000,0.025,
,8471801000,FREE,
,8518908100,0.012,
,9401901010,0.012,
,9403200018,FREE,
,9507208000,0.048,
,8543709660,0.006,
,9023000000,FREE,
,8523520010,FREE,
,6116999530,0.038,
,6307101090,0.038,
,9615192000,9.7¢/gross + 1.3%,
,6110202046,0.165,
,4202228930,0.176,
,9404901000,0.053,
,9109103010,7.5¢ each + 3.2% on the movement + 2.6% on the battery,
,8477908595,0.031,
,8504407007,FREE,
,8471609050,FREE,
,8526925000,0.012,
,4803004000,FREE,
,8205513060,0.037,
,6307908500,0.058,
,7019901000,0.048,
,5804291000,0.08,
,9506694000,0.054,
,3922900000,0.063,
,9603500000,FREE,
,8714961000,0.08,
,6212109020,0.169,
,8536908585,0.006,
,9105914010,3.9% on the movement and case+ 5.3% on the battery,
,4420908000,0.032,
,6109100012,0.165,
,6211420581,0.081,
,8483509040,0.028,
,9612200000,0.035,
,7117909000,0.11,
,9608996000,FREE,
,6302401000,0.064,
,9405208020,0.039,
,7010900540,FREE,
,7315201000,FREE,
,8414591500,FREE,
,8519813020,FREE,
,9613802090,0.039,
,6810990080,FREE,
,9404299095,0.06,
,8413309030,0.025,
,6404195960,0.48,
,6114303054,0.149,
,7615103025,0.031,
,9403704015,FREE,
,4007000000,FREE,
,5609001000,0.029,
,8481801095,0.04,
,3926400000,0.053,
,8481100090,0.02,
,5608110090,0.08,
,7616995190,0.025,
,4017000000,0.027,
,8301200060,0.057,
,6211339050,0.16,
,6211339054,0.16,
,9002204000,0.005,
,6112110030,0.149,
,6217108500,0.146,
,9617001000,0.072,
,8529104040,FREE,
,4202926010,0.063,
,4421998500,0.048,
,8528593350,0.05,
,8423810010,FREE,
,6403997590,0.07,
,9002909500,FREE,
,6212900030,0.066,
,6911108010,0.208,
,7014005000,0.033,
,9506696020,0.049,
,8537109070,0.027,
,4203300000,0.027,
,6211431040,0.16,
,4016993510,FREE,
,4602110500,0.05,
,9026801000,FREE,
,6204522070,0.082,
,8003000000,0.03,
,8537109160,0.027,
,8708936000,0.025,
,6104598030,0.056,
,4602120500,0.05,
,6212300020,0.235,
,6204593010,0.16,
,9006690110,FREE,
,9506320000,FREE,
,9405606000,0.053,
,4202224500,0.063,
,8467290090,FREE,
,6704190000,FREE,
,4819502000,FREE,
,7615105020,0.031,
,7326200090,0.039,
,8481803090,0.056,
,9026208000,FREE,
,9605000000,0.081,
,6104632011,28.2%,
,6211430591,16%,
,8517700000,0%,
,3920995000,5.8%,
,6114200010,10.8%,
,8301406060,5.7%,
,6215900015,5%,
,6202134030,27.7%,
,8302416050,3.9%,
,9309900000,0%,
,7323930080,2%,
,9006910000,0%,
,6204692210,13.6%,
,6304920000,6.3%,
,6204444010,16%,
,940548410,16%,
,7017106000,4.6%,
,8474800080,0%,
,8510209000,4%,
,9405108010,3.9%,
,8516290030,3.7%,
,6209903040,14.9%,
,9030840000,0.4%,
,4820300040,0%,
,8526910020,0%,
,7319909000,2.9%,
,7009925000,0%,
,8481801040,4%,
,9507100080,6%,
,9603904000,0%,
,4202329300,17.6%,
,9606292000,0.3¢/line/ gross + 4.5% /,
,7612901030,5.7%,
,8409911040,0%,
,8539228040,2.6%,
,6216000800,0.8%,
,8519814050,0%,
,9104005010,0%,
,5609003000,4.5%,
,8517120050,0%,
,5608902700,14.1%,
,6111206070,8.1%,
,8207806000,3.7%,
,4823690040,0%,
,9615114000,5.3%,
,8214906000,0.2¢ each + 3.1%,
,9611000000,2.7%,
,8536507000,0%,
,8481809005,0%,
,6116928800,9.4%,
,8413200000,0%,
,8512102000,0%,
,3304200000,0%,
,9504906000,0%,
,4802100000,0%,
,8471410150,0%,
,8504408500,0%,
,4202929336,17.6%,
,3307900000,5.4%,
,8213009000,3¢ each + 3% ,
,4419120000,3.2%,
,6112110010,14.9%,
,6307909885,7%,
,4821902000,0%,
,8433901090,0%,
,6304992500,11.3%,
,8302109030,3.4%,
,9208900080,5.3%,
,7319405010,0%,
,6306192110,5.1%,
,6217109540,0%,
,9506512000,5.3%,
,4016991500,2.7%,
,6406901540,14.9%,
,8424820090,2.4%,
,8302423015,3.9%,
,6401929030,37.5%,
,9507906000,5%,
,6214101000,1.2%,
,4010369000,3.3%,
,6307909884,7%,
,8512300020,2.5%,
,8308100000,1.1¢/KG + 2.9%/,
,6104632060,28.2%,
,6505000100,6.4%,
,6115309010,14.6%,
,8213003000,1.7¢ each + 4.3%,
,8302500000,0%,
,8205593010,0%,
,8536694020,0%,
