Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,云途全球化妆品类专线挂号,以色列,10*15cm,45*40*40 cm,/
,,澳大利亚,10*15cm,59*49*39cm,"L+H+W≤147cm,最长边≤105cm"
,,美国,10*15cm,55*40*35cm,68*43*43cm
,云途大货专线挂号(特惠带电),美国,10*20cm,"L<120cm ,次边长<76cm,且 L+2*（W+H）<265cm",120≤L≤240cm，次边长≥76cm，265cm≤L+2*（W+H）≤320cm
,云途大货专线挂号(特惠普货),美国,10*20cm,"L<120cm ,次边长<76cm,且 L+2*（W+H）<265cm",120≤L≤240cm，次边长≥76cm，265cm≤L+2*（W+H）≤320cm
,云途全球精选专线挂号(特惠普货),澳大利亚,10*15cm,59*49*39cm,"L+H+W≤147cm,最长边≤105cm"
,,美国,10*15cm,55*40*35cm,68*43*43cm
,,瑞典,10*20cm,60*40*35cm,119*49*39cm
,,,,,
,,,,,
,,,,,B2C:60*40*40cm
,,波兰,10*15cm,60*40*35cm,"最长边≤ 119 cm,长+宽+高≤ 217 cm"
,,,,,
,,加拿大,10*15cm,60*40*35cm,"最长边≤100cm，第二边长≤76cm, 长+(宽+高)*2≤250cm"
,,葡萄牙,10*15cm,60*40*35cm,/
,云途全球精选专线挂号（特惠带电）,澳大利亚,10*15cm,59*49*39cm,"L+H+W≤147cm,最长边≤105cm"
,,以色列,10*15cm,L+H+W≤120cm，最长边≤60cm,119*49*39cm
,,加拿大,10*15cm,60*40*35cm,"最长边≤100cm，第二边长≤76cm, 长+(宽+高)*2≤250cm"
,,美国,10*15cm,55*40*35cm,68*43*43cm
,,葡萄牙,10*15cm,60*40*35cm,/
,云途岛屿专线（特惠带电）,美国,10*15cm,55*40*35cm,68*43*43cm
,云途岛屿专线（特惠普货）,美国,10*15cm,55*40*35cm,68*43*43cm
,云途中包专线挂号（特惠带电）,法国,10*20cm,"L<100cm ,L+W+H<150cm",/
,,西班牙,10*20cm,"L<120cm ,L+W+H<210 cm",/
,,葡萄牙,10*20cm,"L<80cm ,L+W+H≤180cm",/
,,德国,10*20cm,119*49*39cm,/
,,奥地利,10*20cm,100*60*60cm​,/
,,比利时,10*20cm,"L<100cm, L+W+H<150cm",/
,,保加利亚,10*20cm,119*49*39cm,/
,,捷克,10*20cm,119*49*39cm,/
,,丹麦,10*20cm,119*49*39cm,/
,,芬兰,10*20cm,119*49*39cm,/
,,希腊,10*20cm,119*49*39cm,/
,,克罗地亚,10*20cm,"L<100cm ,L+W+H<150cm",/
,,匈牙利,10*20cm,110*60*60cm​,/
,,爱尔兰,10*20cm,"L<208cm ,L+W*2+H*2≤325cm",/
,,意大利,10*20cm,119*49*39cm,/
,,卢森堡,10*20cm,119*49*39cm,/
,,荷兰,10*20cm,80*60*50cm,/
,,波兰,10*20cm,119*49*39cm,/
,,罗马尼亚,10*20cm,119*49*39cm,/
,,斯洛文尼亚,10*20cm,"L<100cm ,L+W+H<150cm",/
,,斯洛伐克,10*20cm,"L<175CM ,L+W*2+H*2≤300cm",/
,,爱沙尼亚,10*20cm,119*49*39cm,/
,,拉脱维亚,10*20cm,119*49*39cm,/
,,立陶宛,10*20cm,119*49*39cm,/
,,瑞典,10*20cm,119*49*39cm,/
,云途中包专线挂号（特惠普货）,法国,10*20cm,"L<100cm ,L+W+H<150cm",/
,,西班牙,10*20cm,"L<120cm ,L+W+H<210 cm",/
,,葡萄牙,10*20cm,"L<80cm ,L+W+H≤180cm",/
,,德国,10*20cm,119*49*39cm,/
,,奥地利,10*20cm,100*60*60cm​,/
,,比利时,10*20cm,"L<100cm, L+W+H<150cm",/
,,保加利亚,10*20cm,119*49*39cm,/
,,捷克,10*20cm,119*49*39cm,/
,,丹麦,10*20cm,119*49*39cm,/
,,芬兰,10*20cm,119*49*39cm,/
,,希腊,10*20cm,119*49*39cm,/
,,克罗地亚,10*20cm,"L<100cm ,L+W+H<150cm",/
,,匈牙利,10*20cm,110*60*60cm​,/
,,爱尔兰,10*20cm,"L<208cm ,L+W*2+H*2≤325cm",/
,,意大利,10*20cm,119*49*39cm,/
,,卢森堡,10*20cm,119*49*39cm,/
,,荷兰,10*20cm,80*60*50cm,/
,,波兰,10*20cm,119*49*39cm,/
,,罗马尼亚,10*20cm,119*49*39cm,/
,,斯洛文尼亚,10*20cm,"L<100cm ,L+W+H<150cm",/
,,斯洛伐克,10*20cm,"L<175CM ,L+W*2+H*2≤300cm",/
,,爱沙尼亚,10*20cm,119*49*39cm,/
,,拉脱维亚,10*20cm,119*49*39cm,/
,,立陶宛,10*20cm,119*49*39cm,/
,,瑞典,10*20cm,119*49*39cm,/
,云途轻小件专线挂号（特惠带电）,澳大利亚,10*15cm,"59cm*49cm*39cm, L+H+W≤90cm",/
,云途轻小件专线挂号（特惠普货）,澳大利亚,10*15cm,"59cm*49cm*39cm, L+H+W≤90cm",/
